# time, g
156.14,0.082602
156.14,0.25826
156.14,0.245
156.14,0.19198
156.14,-0.13944
156.14,-0.26207
156.14,-0.19578
156.14,-0.099671
156.14,0.092549
156.14,0.1721
156.14,0.059409
156.14,0.13895
156.14,-0.00024432
156.14,-0.020129
156.14,0.022956
156.14,-0.049955
156.14,-0.089723
156.14,-0.073152
156.14,-0.033382
156.15,0.20193
156.15,0.28478
156.15,0.099185
156.15,-0.14606
156.15,-0.42446
156.15,-0.31508
156.15,-0.069833
156.15,0.17874
156.15,0.29805
156.15,0.16879
156.15,0.069363
156.15,0.003081
156.15,-0.056573
156.15,-0.04663
156.15,0.0030828
156.15,-0.016801
156.15,0.16217
156.15,0.16217
156.15,0.052797
156.15,-0.046626
156.16,-0.3449
156.16,-0.38135
156.16,-0.25873
156.16,-0.093022
156.16,0.2848
156.16,0.27154
156.16,0.13897
156.16,0.022976
156.16,-0.20239
156.16,-0.10627
156.16,0.062747
156.16,0.17544
156.16,0.32789
156.16,0.069377
156.16,-0.22227
156.16,-0.3018
156.16,-0.33163
156.16,-0.096327
156.16,0.11909
156.16,0.17213
156.17,0.20196
156.17,0.0097277
156.17,-0.10295
156.17,-0.049925
156.17,-0.049925
156.17,0.0097301
156.17,0.095898
156.17,0.079328
156.17,0.019674
156.17,-0.00020969
156.17,-0.049921
156.17,-0.059863
156.17,0.069389
156.17,-0.039977
156.17,0.0097357
156.17,0.0097363
156.17,-0.076431
156.17,0.079334
156.17,0.013052
156.17,-0.10626
156.18,-0.046601
156.18,-0.16591
156.18,0.026311
156.18,0.2318
156.18,0.1622
156.18,0.16552
156.18,-0.033341
156.18,-0.18248
156.18,-0.0001981
156.18,-0.023396
156.18,-0.023396
156.18,0.05283
156.18,0.0031186
156.18,0.069402
156.18,0.092601
156.18,-0.046592
156.18,-0.06979
156.18,-0.10956
156.18,-0.099616
156.18,0.023008
156.18,0.062778
156.19,0.019695
156.19,0.0031248
156.19,-0.069786
156.19,0.0064401
156.19,0.0031266
156.19,-0.00018695
156.19,-0.0068146
156.19,-0.073097
156.19,0.0064431
156.19,0.062784
156.19,0.11913
156.19,0.11581
156.19,-0.056523
156.19,-0.16589
156.19,-0.146
156.19,-0.10292
156.19,0.13901
156.19,0.21856
156.19,0.089303
156.2,-0.00017837
156.2,-0.25868
156.2,-0.26862
156.2,-0.00017643
156.2,0.085992
156.2,0.27159
156.2,0.19868
156.2,-0.12943
156.2,-0.25536
156.2,-0.3117
156.2,-0.092968
156.2,0.21526
156.2,0.2716
156.2,0.26828
156.2,0.1556
156.2,-0.046567
156.2,-0.13273
156.2,-0.21559
156.2,-0.20233
156.2,-0.099591
156.21,0.0031481
156.21,0.12909
156.21,0.1092
156.21,0.032977
156.21,-0.11284
